Statistics	R_squared_coefficient
Lengthd *D2z^2	0.982318286983655
Lengthd *Pearson-Coeff^2	0.98231828698363
Lengthd *N2r^2	0.980897297577802
Lengthd *Normalized-Vectors^2	0.980605539044021
Lengthd *Kulczynski2	0.980305247819786
Intersection *Lengthd	0.980139406590565
Spearman *Lengthd	0.979521063747003
EMD *D2s	0.979084547625813
RRE-k-r *Lengthd	0.97833951411772
Normalized-Vectors *EMD	0.978109231890182
D2z *EMD	0.977329475935322
Pearson-Coeff *EMD	0.97732947593531
EMD *D2z^2	0.977226407070373
EMD *Pearson-Coeff^2	0.977226407070372
KL-Cond *Lengthd	0.977216258519963
EMD *N2r^2	0.976966194388054
Harmonic-Mean *Lengthd	0.976941802538023
Lengthd *Jensen-Shannon	0.976034183891924
D2z^2 *Lengthd^2	0.975947168802462
Pearson-Coeff^2 *Lengthd^2	0.975947168802462
K-Div *Lengthd	0.975582524265411
Normalized-Vectors *Lengthd	0.974938686531588
Jefferey-Div *Lengthd	0.974832941647154
Pearson-Coeff *EMD^2	0.974819384676875
D2z *EMD^2	0.974819384676875
Lengthd *Kulczynski1	0.974753174441851
EMD *Similarity-ratio	0.974702802651177
EMD *D2-star	0.974686991063887
D2-star *EMD^2	0.974531090233904
EMD *Normalized-Vectors^2	0.974473362578616
EMD *Spearman	0.974350380588387
Chi-Squared *Lengthd	0.974263685667647
SimMM *EMD	0.974183340330345
EMD *N2rrc^2	0.974032403341007
D2s *EMD^2	0.973830198443034
Lengthd^2 *N2r^2	0.973674840539956
Normalized-Vectors^2 *Lengthd^2	0.973458963623487
Lengthd *D2s	0.973142544350961
EMD^2 *N2r^2	0.97313190650731
Lengthd *Canberra	0.973046366501368
Intersection *EMD	0.972775467083604
Lengthd *N2rrc^2	0.972718242951494
EMD *Kulczynski2	0.972458702551583
Manhattan *Lengthd	0.972335291828289
EMD^2 *N2rrc^2	0.972162643430786
KL-Cond *EMD	0.972148994265136
RRE-k-r *EMD	0.971961135683664
Pearson-Coeff^2 *EMD^2	0.971579131871049
D2z^2 *EMD^2	0.971579131871037
Lengthd *N2rc^2	0.970649676333533
Squared-Chord *Lengthd	0.970447103394119
Normalized-Vectors *EMD^2	0.970432392519516
Kulczynski2 *Lengthd^2	0.96968607452688
EMD *N2rc^2	0.969031866282346
D2z *Lengthd	0.969009621610165
Pearson-Coeff *Lengthd	0.969009621610152
N2rc *EMD^2	0.968972730500402
EMD *N2rc	0.968501013164196
Intersection *Lengthd^2	0.968212335668706
SimMM *Lengthd	0.967977286689908
D2z *Similarity-ratio	0.967731894646271
Pearson-Coeff *Similarity-ratio	0.967731894646259
Normalized-Vectors^2 *EMD^2	0.967509071978384
Harmonic-Mean *EMD	0.967405434983384
Normalized-Vectors *Similarity-ratio	0.967353191530586
Spearman *EMD^2	0.96722015843392
EMD *Similarity-ratio^2	0.966995600427317
Spearman *Lengthd^2	0.966646763890942
EMD *Jensen-Shannon	0.966566212642511
RRE-k-r *Lengthd^2	0.966496616969011
Lengthd *Similarity-ratio^2	0.966280429009524
Canberra *Lengthd^2	0.96603681046471
K-Div *EMD	0.965981713570976
SimMM *EMD^2	0.965938043222891
EMD *N2r	0.965711109239944
Similarity-ratio *N2r	0.965688456391515
EMD^2 *N2rc^2	0.965636797383676
D2s *N2r	0.965500039262881
Jefferey-Div *EMD	0.965469259905253
KL-Cond *EMD^2	0.965467077636184
Kulczynski1 *Lengthd^2	0.9651923969266
RRE-k-r *EMD^2	0.964956036527165
D2s *Similarity-ratio	0.964922128116212
D2z *D2s	0.964887654264866
Pearson-Coeff *D2s	0.964887654264865
Normalized-Vectors *D2z	0.964835047306437
Normalized-Vectors *Pearson-Coeff	0.964835047306437
Manhattan *Lengthd^2	0.964773729603745
Lengthd *D2-star^2	0.964679419270455
KL-Cond *Lengthd^2	0.964668113825978
Normalized-Vectors *D2s	0.964556444871448
Intersection *AFd^2	0.964540355571171
EMD *Kulczynski1	0.964526585195486
Intersection *AFd	0.96452506669142
Intersection	0.964506748472062
Pearson-Coeff^2 *AFd^2	0.964435417638774
D2z^2 *AFd^2	0.964435417638774
AFd *Pearson-Coeff^2	0.964421055003266
AFd *D2z^2	0.964421055003254
Normalized-Vectors^2 *AFd^2	0.964411384009628
D2z^2	0.964405971219109
Pearson-Coeff *D2z	0.964405971219109
Pearson-Coeff^2	0.964405971219109
AFd *Normalized-Vectors^2	0.964402857203183
Normalized-Vectors^2	0.964393629343476
Lengthd^2 *N2rrc^2	0.964293048685218
D2s *N2rrc	0.964020047799592
Chi-Squared *Lengthd^2	0.963885608662553
AFd^2 *Similarity-ratio^2	0.963689988427862
AFd *Similarity-ratio^2	0.963642496612987
Harmonic-Mean *Lengthd^2	0.963602722606327
Similarity-ratio^2	0.963593071590745
Lengthd *Jefferey-Div^2	0.963564394169565
