Statistics	R_squared_coefficient
Normalized-Vectors *EMD	0.977599720088899
D2z *EMD^2	0.977509227260346
Pearson-Coeff *EMD^2	0.977509227260331
D2z *EMD	0.977243070675071
Pearson-Coeff *EMD	0.977243070675063
D2-star *EMD^2	0.976185737555545
N2rc *EMD^2	0.976063707696713
EMD *D2s	0.975852170070215
EMD *Similarity-ratio	0.975414665383829
Lengthd *N2r^2	0.97514838868449
EMD *D2-star	0.97478605880072
Normalized-Vectors *EMD^2	0.974696651718183
EMD *N2rc	0.974066426621046
Spearman *Lengthd	0.973626623859848
Lengthd *N2rrc^2	0.973126180682278
Harmonic-Mean *Lengthd	0.972975436455057
EMD *Spearman	0.972936044974581
D2s *EMD^2	0.972913090641183
EMD *N2rrc^2	0.972636251235579
Normalized-Vectors *Lengthd	0.972617619997046
Lengthd *Jensen-Shannon	0.972429695385906
Intersection *Lengthd	0.972271580021691
K-Div *Lengthd	0.972196563558334
SimMM *EMD	0.972179355743032
Jefferey-Div *Lengthd	0.97162334954872
EMD *N2r^2	0.971464549713277
Lengthd *Kulczynski2	0.971397092616118
RRE-k-r *Lengthd	0.97091021000337
Lengthd^2 *N2r^2	0.97065272172566
N2rrc *EMD^2	0.970236559410823
EMD *N2r	0.970139104959288
Lengthd *D2s	0.969918835167754
Chi-Squared *Lengthd	0.969909149437907
Spearman *EMD^2	0.969628097604739
RRE-k-r *EMD	0.969351155380453
Spearman *Lengthd^2	0.969173589301956
SimMM *EMD^2	0.969172898661257
KL-Cond *Lengthd	0.969058135055798
KL-Cond *EMD	0.969056789213341
D2z *Lengthd	0.968949346183192
Pearson-Coeff *Lengthd	0.968949346183184
N2r *EMD^2	0.968932913985461
Lengthd *Kulczynski1	0.968863786917294
Harmonic-Mean *EMD	0.968634994340359
EMD *Jensen-Shannon	0.968299519322512
K-Div *EMD	0.968095974988511
EMD^2 *N2rrc^2	0.968063297555575
Intersection *EMD	0.967980537758912
Harmonic-Mean *Lengthd^2	0.967963576884171
EMD *N2rrc	0.967960605677169
Lengthd *D2z^2	0.967906500154313
Lengthd *Pearson-Coeff^2	0.967906500154312
Jefferey-Div *EMD	0.967764656922917
Squared-Chord *Lengthd	0.967758959287224
Lengthd *Normalized-Vectors^2	0.967750989428554
Similarity-ratio *EMD^2	0.967684281841046
Lengthd^2 *N2rrc^2	0.967501152432339
RRE-k-r *Lengthd^2	0.967384216453175
Jensen-Shannon *Lengthd^2	0.967044796393454
EMD *Kulczynski2	0.966630332696636
KL-Cond *EMD^2	0.966541364026249
Intersection *Lengthd^2	0.966476577955769
Chi-Squared *Lengthd^2	0.966425614520324
Kulczynski2 *Lengthd^2	0.966305947150077
EMD^2 *N2r^2	0.966176441431502
RRE-k-r *EMD^2	0.966119859729767
Lengthd *N2rc^2	0.966111344053452
K-Div *Lengthd^2	0.965795597989103
Kulczynski1 *Lengthd^2	0.965735658575467
Jefferey-Div *Lengthd^2	0.965728858180179
